14,1.6
15,8
16,1.6
17,11.2
18,50.4
19,11.1
25,0.4
26,2.9
27,14.8
28,21.1
29,27.1
30,4.5
31,21.2
32,1.6
33,0.4
37,0.5
38,1.9
39,6.3
40,4.7
41,8.9
42,13.6
43,47.4
44,32
45,12.6
46,0.5
47,4.3
52,0.6
53,8.5
54,11.9
55,15.1
56,6.7
57,100
58,7.4
59,1.4
60,19.1
61,7
62,0.4
66,0.7
67,1.1
68,7.7
69,10.2
70,1.8
71,14.9
72,6.9
73,37.4
74,5.3
75,0.5
75.5,0.6
79,1
80,1.8
81,3.7
82,2
83,1.4
84,1.4
85,6.2
86,7.6
87,1
88,0.5
89,0.5
95,0.8
96,2
97,2.3
98,0.8
101,0.8
102,0.6
103,1.2
106,1.6
107,0.7
108,3.9
109,9.3
110,9.4
111,0.9
113,0.6
114,2.1
115,1.4
122,0.5
123,0.8
124,0.8
133,1.5
134,4.3
135,3.5
136,0.5
143,0.7
150,0.4
151,51.2
152,4.8
161,0.7
165,0.5
194,0.4
283,0.4
