14,0.3
15,1.8
16,1.1
17,2.8
18,12.4
19,2.2
20,0.9
26,0.9
27,2.9
28,9
29,5.4
30,1.8
31,5.7
32,0.7
33,0.1
37,0.1
38,0.4
39,1.7
40,3.4
41,6.2
42,9.1
43,9.2
44,7.3
45,4.1
46,0.7
47,0.6
51,0.3
52,2.5
53,1.1
54,2.1
55,4.6
56,3.5
57,10
58,1.6
59,0.7
60,3.5
61,3.1
62,0.1
64,0.1
65,0.3
66,1.2
67,5
68,9.5
69,14.6
70,4.5
71,3.7
72,1.3
73,8.7
74,1.9
75,0.2
77,0.1
78,0.2
79,1.6
80,0.5
81,1.7
82,1
82.5,0.2
83,4.9
84,2.5
85,3.1
86,1.4
87,0.5
88,0.1
89,0.2
91,0.1
92,0.2
93,0.7
94,5.8
95,9.7
96,4.3
97,2.5
98,0.5
99,0.1
100,0.2
101,0.3
102,0.2
103,0.4
105,0.2
106,0.1
107,0.3
108,0.3
109,1.3
110,2
111,29.1
112,100
113,6.9
114,1.7
115,0.6
116,0.1
118,0.1
119,0.2
120,0.2
121,0.4
122,1.5
123,1.1
124,1.2
125,1.2
126,1.3
127,0.2
128,0.1
132,0.6
133,1.1
134,0.6
135,1
136,1.6
137,0.5
138,1.1
139,0.6
140,42.5
141,3.3
142,0.4
143,0.1
144,0.2
146,0.1
147,0.1
148,0.4
149,0.2
150,0.2
151,26.9
152,2.7
153,0.6
154,6.1
155,0.5
160,0.4
161,0.1
162,0.1
163,0.2
164,0.2
165,0.3
166,0.3
167,0.1
168,0.2
169,0.8
170,8.2
171,0.7
172,0.1
175,0.1
176,0.1
177,0.2
178,2
179,0.2
182,0.3
183,0.1
184,0.1
194,0.3
196,0.2
200,0.2
208,0.2
212,0.3
213,0.5
214,0.2
215,0.1
225,0.1
226,0.2
242,0.1
243,0.3
244,1.2
245,0.1
