temp,x,pressure,viscosity
75,0,491.4,0.3908
75,0.15,491.4,0.5341
75,0.25,491.4,0.5876
75,0.3,491.4,0.6029
75,0.35,491.4,0.6024
75,0.5,491.4,0.5781
75,0.75,491.4,0.4907
75,1,491.4,0.3728
75,0,589.4,0.3934
75,0.15,589.4,0.5412
75,0.25,589.4,0.5977
75,0.3,589.4,0.6141
75,0.35,589.4,0.6141
75,0.5,589.4,0.5924
75,0.75,589.4,0.5075
75,1,589.4,0.3879
75,0,687.5,0.396
75,0.15,687.5,0.5454
75,0.25,687.5,0.6084
75,0.3,687.5,0.626
75,0.35,687.5,0.627
75,0.5,687.5,0.6053
75,0.75,687.5,0.5258
75,1,687.5,0.4036
