temp,x,pressure,viscosity
40,0.68561884,500,0.4846
40,0.55989088,500,0.5696
40,0.4498904,500,0.6545
40,0.35284005,500,0.6964
40,0.26658008,500,0.7462
40,0.18940568,500,0.7742
40,0.11995324,500,0.7835
40,0.057119,500,0.7441
40,0,500,0.6948
40,1,750,0.3755
40,0.83070696,750,0.4449
40,0.68561884,750,0.5375
40,0.55989088,750,0.6183
40,0.4498904,750,0.6989
40,0.35284005,750,0.7368
40,0.26658008,750,0.7825
40,0.18940568,750,0.8049
40,0.11995324,750,0.8042
40,0.057119,750,0.7494
40,0,750,0.6933
40,1,1000,0.4210
40,0.83070696,1000,0.4668
40,0.68561884,1000,0.5513
40,0.55989088,1000,0.6434
40,0.4498904,1000,0.7199
40,0.35284005,1000,0.7731
40,0.26658008,1000,0.8108
40,0.18940568,1000,0.8254
40,0.11995324,1000,0.8015
40,0.057119,1000,0.7547
40,0,1000,0.6933
50,1,1,0.2386
50,0.83070696,1,0.2649
50,0.68561884,1,0.3454
50,0.55989088,1,0.4187
50,0.4498904,1,0.4986
50,0.35284005,1,0.5446
50,0.26658008,1,0.6041
50,0.18940568,1,0.6232
50,0.11995324,1,0.6356
50,0.057119,1,0.6248
50,0,1,0.5940
50,1,100,0.2449
50,0.83070696,100,0.2779
50,0.68561884,100,0.3582
50,0.55989088,100,0.4313
50,0.4498904,100,0.5043
50,0.35284005,100,0.5569
50,0.26658008,100,0.6095
50,0.18940568,100,0.6285
50,0.11995324,100,0.6476
50,0.057119,100,0.6268
50,0,100,0.5927
50,1,200,0.2580
50,0.83070696,200,0.3044
50,0.68561884,200,0.3844
50,0.55989088,200,0.4640
50,0.4498904,200,0.5300
50,0.35284005,200,0.5691
50,0.26658008,200,0.6115
50,0.18940568,200,0.6305
50,0.11995324,200,0.6529
50,0.057119,200,0.6321
50,0,200,0.5915
50,1,300,0.2710
50,0.83070696,300,0.3240
50,0.68561884,300,0.4004
50,0.55989088,300,0.4698
50,0.4498904,300,0.5390
50,0.35284005,300,0.5813
50,0.26658008,300,0.6202
50,0.18940568,300,0.6392
50,0.11995324,300,0.6582
50,0.057119,300,0.6307
50,0,300,0.5922
50,1,500,0.3002
50,0.83070696,500,0.3361
50,0.68561884,500,0.4154
50,0.55989088,500,0.4878
50,0.4498904,500,0.5600
50,0.35284005,500,0.5954
50,0.26658008,500,0.6375
50,0.18940568,500,0.6610
50,0.11995324,500,0.6686
50,0.057119,500,0.6347
50,0,500,0.5923
50,1,750,0.3221
50,0.83070696,750,0.3811
50,0.68561884,750,0.4599
50,0.55989088,750,0.5284
50,0.4498904,750,0.5968
50,0.35284005,750,0.6287
50,0.26658008,750,0.6672
50,0.18940568,750,0.6858
50,0.11995324,750,0.6848
50,0.057119,750,0.6379
50,0,750,0.5898
50,1,1000,0.3604
50,0.83070696,1000,0.3990
50,0.68561884,1000,0.4707
50,0.55989088,1000,0.5488
50,0.4498904,1000,0.6134
50,0.35284005,1000,0.6583
50,0.26658008,1000,0.6899
50,0.18940568,1000,0.7019
50,0.11995324,1000,0.6812
50,0.057119,1000,0.6410
